"SiteName","FileName","ContractNumber"
"דרך השלום","CONT-0429-164939-1.docx","CONT-0429-164939-1"
"נרקיסים","חוזה מתכנן אלומיניום.docx","CONT-10-1969"
"נרקיסים","חוזה מעצב פנים.docx","CONT-10-1967"
"נשר","חוזה יועץ קרינה אלקטרו.docx","CONT-10-2195"
"רוטשילד חיפה","חוזה יועץ פינוי אשפה - CONT-5-670.docx","CONT-5-670"
"רמת שרת שלב ב","חוזה מתכנן תנועה - CONT-5-663.docx","CONT-5-663"
"רמת שרת שלב ב","חוזה יועץ בניה ירוקה - CONT-5-569.docx","CONT-5-569"
"נשר","חוזה יועץ בידוד תרמי - CONT-5-692.docx","CONT-5-692"
"אופיס אזור","חוזה איתור תשתיות - CONT-5-673.docx","CONT-5-673"
"דרך השלום - תא","חוזה הידרולוג - CONT-5-667.docx","CONT-5-667"
"אופיס אזור","חוזה אדריכל ראש1 - CONT-10-2365.docx","CONT-10-2365"
"רמת שרת שלב ב","חוזה אדריכל נוף - CONT-5-563.docx","CONT-5-563"
"( טרם ניתן שם לפרויקט ) בעיר נשר","חוזה אדריכל ג גור למגרש - CONT-5-565CONT-10-1927.docx","CONT-10-1927"
"נשר","חוזה יועץ קרינה אלקטרו - CONT-5-668CONT-10-2195.docx","CONT-10-2195"
"רמת שרת שלב ב","חוזה מתכנן אינסטלציה - CONT-5-564.docx","CONT-5-564"
"רמת שרת שלב ב","חוזה מתכנן מעליות - CONT-5-661.docx","CONT-5-661"
"אולפני הרצליה","אולפני הרצליה חוזה יועץ בטיחות   אלי כחלון - CONT-5-582.docx","CONT-5-582"
"אולפני הרצליה","הרצליה חוזה מתכנן אינסטלציה זיו גלמור 06.02.2024 - CONT-10-2353.docx","CONT-10-2353"
"הקמת 150 יח''ד ומסחר","הרצליה חוזה מתכנן חשמל ותקשורת 06.02.2024 - CONT-10-1943.docx","CONT-10-1943"
"אולפני הרצליה","חוזה מתכנן תנועה רקאוז חן הנדסת כבישים טיוטה 1 - CONT-10-2334.docx","CONT-10-2334"
"אולפני הרצליה","יועץ ביסוס קרקע - CONT-5-664.docx","CONT-5-664"
"אולפני הרצליה","הרצליה חוזה מתכנן מיזוג אוויר זיו גלמור 06.02.2024 - CONT-10-2354.docx","CONT-10-2354"
"אולפני הרצליה","יועץ נגישות - CONT-5-676.docx","CONT-5-676"
"אולפני הרצליה","אדריכלות נוף - CONT-10-2335.docx","CONT-10-2335"
"אנדריוס","חוזה מתכנן מיזוג אוויר - CONT-10-1399.docx","CONT-10-1399"
"אנדריוס","הסכם מתכנן- אינסטלציה וספרינקלרים - 2 4 19 - CONT-10-1846.docx","CONT-10-1846"
"אנדריוס","חוזה מתכנן קונסטרוקצי1 - CONT-10-1922.docx","CONT-10-1922"
"נשר","חוזה אדריכל ראשי - CONT-10-1924.docx","CONT-10-1924"
"אנדריוס","חוזה יועץ אקוסטיקה - CONT-10-1933.docx","CONT-10-1933"
"אנדריוס","חוזה מתכנן אינסטלציה - CONT-10-1404.docx","CONT-10-1404"
"גבעת הכלניות","חוזה יועץ ביסוס קרקע - CONT-10-2098.docx","CONT-10-2098"
"גבעת הכלניות","חוזה יועץ בניה ירוקה ויעוץ תרמי - CONT-10-2157.docx","CONT-10-2157"
"רמת שרת - דרומי","חוזה יועץ נגישות - CONT-5-676.docx","CONT-5-676"
"גבעת הכלניות","חוזה מתכנן איוורור ומיזוג אוויר - CONT-10-2104.docx","CONT-10-2104"
"גבעת הכלניות","חוזה מתכנן אינסטלציה - CONT-10-2082.docx","CONT-10-2082"
"","חוזה מתכנן חשמל ותקשורת - CONT-10-2083.docx","CONT-10-2083"
"גבעת הכלניות","חוזה מתכנן אלומיניום - CONT-10-2193.docx","CONT-10-2193"
"דרך השלום - תא","חוזה מתכנן אלומיניום - CONT-5-575.docx","CONT-5-575"
"גבעת הכלניות","חוזה מתכנן קונסטרוקציה קרבן - CONT-10-1821.docx","CONT-10-1821"
"גבעת הכלניות","חוזה מתכנן מעליות - CONT-10-2097.docx","CONT-10-2097"
"גבעת הכלניות","חוזה מתכנן תנועה - CONT-10-2099.docx","CONT-10-2099"
"גבעת הכלניות","חוזה אדריכל נוף - CONT-10-2096.docx","CONT-10-2096"
