OldContractNumber,OldFileName,ContractTemplate,signDate,כתובת ספק,CostContractScope,SiteName,status,StartDate,ExpectedEndDate,CostCompMethod,PartyAContactNamePercent,אישור חוזה,contractVersion,ח.פ חברה,docCreator,כתובת חברה,מדד בגין/ידוע,CostIndexMode,CostBaseIndexDate,מספר ספק,DurationMonths,CostIndexPoints,סוג מדד,CostIndexType,סוג ספק,פירוט עלויות,פרק,recipient,otherSides,קישור לנספח,Municipality,customField1,customField2,customField3,customField4,customField5,customField6,customField7,customField8,שיוך לעיר,project,CostCurrency,supplierName,partyAName,WorkDescription,CostPaymentTerms,ItemType,Path,OldFolderName
CONT-10-2056,cbhhi 31 - חוזה מתכנן אינסטלציה.docx,מתכנן אינסטלציה,,,149550,סביוני נצר סירני,טיוטה,2020-11-02 00:00:00,2025-01-20 22:00:00,למדידה,50%,,,,meryle,,1,בגין,2020-11-01 00:00:00,,48,223.3374,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
א.ח. תכנון וייעוץ בהנדסת מים וביוב בע""מ
רח' מגשימים 6, פתח תקווה 

",,נס ציונה,4722,407-0508069,מרול אטמן,ולי אנטוני,,ולי אנטוני,82,,,סביוני נצר סירני - בניין 31,"ש""ח","א.ח. תכנון וייעוץ בהנדסת מים וביוב בע""מ",,"תכנון אינסטלציה, ספרינקלרים וכיבוי אש",60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2166,אדריכל השימור.docx,אדריכל מגורים ומסחר,,,,,טיוטה,,,,,,,,germank,,,,,,,,,,,,,,"צדדים נוספים
",,,,,,,,,,,,,,,,,,Item,sites/Contracts/ProjectContractLibrary/אולפני הרצליה,אולפני הרצליה
CONT-10-2335,אדריכלות נוף.docx,מתכנן אדריכלות נוף,,,,,טיוטה,2021-05-01 00:00:00,,מחיר קבוע/פאושלי,,,0.2,,germank,,2,ידוע,2021-04-30 00:00:00,,,225.5724,5.00000000000000,מדד המחירים לצרכן,,,,"
אולפני הרצליה -ע . משותפת אפריקה ישראל מגורים, תדהר וע. לוזון

558426227
","
עופר מרגלית אדריכל נוף
ח.פ. 057267312
מושב כרם  מהר''ל

",,הרצליה,6424,הר/2180,גרמן קגנובסקי ,עפר מרגלית ,,עפר מרגלית,148,,,אולפני הרצליה,"ש""ח",עופר מרגלית אדריכל נוף,,"הקמת פרויקט מגורים, שימור ומסחר",45 יום,Item,sites/Contracts/ProjectContractLibrary/אולפני הרצליה,אולפני הרצליה
CONT-10-2387,אולפני הרצליה חוזה יועץ בטיחות   אלי כחלון.docx,יועץ בטיחות ,,,,אולפנים ,טיוטה,,,,,,,,germank,,,,,,,,,,,,,"
אולפני הרצליה -ע . משותפת אפריקה ישראל מגורים, תדהר וע. לוזון

558426227
","
כחלון אלי הנדסת בטיחות בע""מ
סוקולוב 13 קומה א' הרצליה
",,הרצליה,6424,הר/2180,גרמן קגנובסקי ,,,אלי כחלון,148,,,אולפני הרצליה ,,"כחלון אלי הנדסת בטיחות בע""מ",,"הקמת פרויקט מגורים, שימור ומסחר",,Item,sites/Contracts/ProjectContractLibrary/אולפני הרצליה,אולפני הרצליה
CONT-10-2495,בדיקה רונן.docx,,2026-02-02 12:12:33,,,אפריקה ישראל,טיוטה,,,,,,,,,,,,2026-02-02 12:12:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,sites/Contracts/ProjectContractLibrary/אופיס - אזור,אופיס - אזור
CONT-10-2052,בניין 31 - חוזה אדריכל נוף.docx,מתכנן אדריכלות נוף,2021-07-08 00:00:00,,130000,סביוני נצר סירני,טיוטה,2020-11-02 00:00:00,2025-02-27 22:00:00,מחיר קבוע/פאושלי,50%,,0.5,,meryle,,1,בגין,2020-11-01 00:00:00,,48,225.5724,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
צ'סלר סולומון בע""מ
רח' הסייפן 34, עין ורד
514800762
",,נס ציונה,4722,407-0508069,מרול אטמן,שירי סולומון,,שירי סולומון,82,,,סביוני נצר סירני - בניין 31,"ש""ח","צ'סלר סולומון בע""מ","                                           אפריקה ישראל מגורים בע""מ  וישראל אדלר חברה להשקעות בע""מ",תכנון אדריכלות נוף,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2005,בניין 31 - חוזה אדריכל.docx,אדריכל מגורים,2021-07-11 00:00:00,,856350,סביוני נצר סירני,טיוטה,2020-12-02 00:00:00,2024-11-09 22:00:00,למדידה,50%,,0.16,,meryle,,1,בגין,2020-12-01 00:00:00,,48,223.1145,5.00000000000000,מדד המחירים לצרכן בגין,,,,"אפריקה ישראל מגורים בע""מ 
וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
רמי וימר אדריכלים בע""מ
רח' ראול ולנברג 22א', תל אביב
512422577
",,נס ציונה,4722,407-0508069,מרול אטמן,דניאל אבולעפיה,,רמי וימר,8,,,סביוני נצר סירני - בניין 31,"ש""ח","רמי וימר אדריכלים בע""מ",,תכנון אדריכלי - בניין 31,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2062,בניין 31 - חוזה חברת ניהול ופיקוח.docx,ניהול תיאום ופיקוח,2022-01-20 00:00:00,,905000,סביוני נצר סירני,טיוטה,2021-05-05 00:00:00,2025-04-12 21:00:00,מחיר קבוע/פאושלי,50%,,0.6,,meryle,,2,ידוע,2021-05-04 00:00:00,,48,225.5724,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
פי.סי.אר ניהול פרויקטים בבניה בע""מ
רח' איה 3, עכו 2423727

",,נס ציונה,4722,407-0508069,מרול אטמן,עבדאללה קבאני,,עבדאללה קבאני,82,,,סביוני נצר סירני - בניין 31,"ש""ח","פי.סי.אר ניהול פרויקטים בבניה בע""מ",,ניהול תאום תכנון ופיקוח,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2154,בניין 31 - חוזה יועץ איטום.docx,יועץ איטום,2021-12-28 00:00:00,,23000,סביוני נצר סירני,טיוטה,2021-02-02 00:00:00,2025-07-18 21:00:00,מחיר קבוע/פאושלי,50%,,0.6,,meryle,,1,בגין,2021-02-01 00:00:00,,48,223.5603,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
אורנה רומנו כהן

",,נס ציונה,4722,407-0508069,מרול אטמן,אורנה רומנו-כהן,,אורנה רומנו-כהן,82,,,סביוני נצר סירני - בניין 31,"ש""ח",אורנה רומנו כהן,,ייעוץ איטום,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2065,בניין 31 - חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,2021-12-30 00:00:00,,27500,סביוני נצר סירני,טיוטה,2020-12-02 00:00:00,2025-02-27 22:00:00,מחיר קבוע/פאושלי,50%,,0.3,,meryle,,1,בגין,2020-12-01 00:00:00,,48,223.1145,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
מ.ג. יועצים לאקוסטיקה בע""מ
רח' השופטים 1, ת.ד. 5212, הרצליה 4644708

",,נס ציונה,4722,407-0508069,מרול אטמן,יוסי פרלה,,יוסי פרלה,82,,,סביוני נצר סירני - בניין 31,"ש""ח","מ.ג. יועצים לאקוסטיקה בע""מ",,ייעוץ אקוסטיקה,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
