"ContractNumber","FileName","FolderName"
"CONT-10-2166","אדריכל השימור.docx","אולפני הרצליה"
"CONT-10-2495","בדיקה רונן.docx","אופיס - אזור"
"CONT-10-2064","בניין 31 - חוזה מתכנן מעליות.docx","נצר סירני"
"CONT-10-2352","הרצליה חוזה מתכנן חשמל ותקשורת 06.02.2024.docx","אולפני הרצליה"
"CONT-10-2467","חוזה אגרונום.docx","דרך השלום - תא"
"CONT-10-2141","חוזה אדריכל נוף.docx","נתניה - מגרש 1409"
"CONT-10-2308","חוזה אדריכל נוף.docx","רוטשילד חיפה"
"CONT-10-2367","חוזה אדריכל נוף.docx","אופיס - אזור"
"CONT-10-1914","חוזה אדריכל ראשי.docx","מורדות ארנונה"
"CONT-10-1923","חוזה אדריכל ראשי.docx",""
"CONT-10-2305","חוזה אדריכל ראשי.docx","רמת שרת"
"CONT-10-2306","חוזה אדריכל ראשי.docx","רוטשילד חיפה"
"CONT-10-2249","חוזה אחראי לביקורת פרויקטים.docx","נצר סירני"
"CONT-10-2255","חוזה אחראי לביקורת פרויקטים.docx","בית מפאי"
"CONT-10-2372","חוזה איתור תשתיות.docx","אופיס - אזור"
"CONT-10-1917","חוזה הידרולוג.docx","נס ציונה מחיר למשתכן"
"CONT-10-2326","חוזה הידרולוג.docx","רוטשילד חיפה"
"CONT-10-2375","חוזה הידרולוג.docx","אופיס - אזור"
"CONT-10-2392","חוזה חברת ניהול ופיקוח פרויקטים פאי הנדסה גני יהודה.docx",""
"CONT-10-1870","חוזה חברת ניהול ופיקוח פרויקטים.docx","נס ציונה מחיר למשתכן"
"CONT-10-2323","חוזה חברת ניהול ופיקוח פרויקטים.docx","רוטשילד חיפה"
"CONT-10-1916","חוזה יועץ איטום.docx","נס ציונה מחיר למשתכן"
"CONT-10-2146","חוזה יועץ איטום.docx","נתניה - מגרש 1409"
"CONT-10-2174","חוזה יועץ איטום.docx","נשר"
"CONT-10-2189","חוזה יועץ איטום.docx","מורדות ארנונה"
"CONT-10-2247","חוזה יועץ איטום.docx","רמת שרת שלב ב"
"CONT-10-2313","חוזה יועץ איטום.docx","רוטשילד חיפה"
"CONT-10-1881","חוזה יועץ אקוסטיקה.docx","נס ציונה מחיר למשתכן"
"CONT-10-2148","חוזה יועץ אקוסטיקה.docx","נתניה - מגרש 1409"
"CONT-10-2269","חוזה יועץ אקוסטיקה.docx","רמת שרת שלב ב"
"CONT-10-2318","חוזה יועץ אקוסטיקה.docx","רוטשילד חיפה"
"CONT-10-1930","חוזה יועץ בטיחות.docx","פרויקט ניסיון"
"CONT-10-2003","חוזה יועץ בטיחות.docx","מורדות ארנונה"
"CONT-10-2140","חוזה יועץ בטיחות.docx","נתניה - מגרש 1409"
"CONT-10-2180","חוזה יועץ בטיחות.docx","רמת שרת שלב ב"
"CONT-10-2320","חוזה יועץ בטיחות.docx","רוטשילד חיפה"
"CONT-10-2159","חוזה יועץ בידוד תרמי לוקח מכאן לירוק אנני גלר אביב.docx","גבעת הכלניות - קרית אתא"
"CONT-10-2049","חוזה יועץ ביסוס קרקע.docx","מורדות ארנונה"
"CONT-10-2144","חוזה יועץ ביסוס קרקע.docx","נתניה - מגרש 1409"
"CONT-10-1920","חוזה יועץ בניה ירוקה.docx","נס ציונה מחיר למשתכן"
"CONT-10-2001","חוזה יועץ בניה ירוקה.docx","מורדות ארנונה"
"CONT-10-2150","חוזה יועץ בניה ירוקה.docx","נתניה - מגרש 1409"
"CONT-10-2319","חוזה יועץ בניה ירוקה.docx","רוטשילד חיפה"
"CONT-10-2382","חוזה יועץ בניה ירוקה.docx","אופיס - אזור"
"CONT-10-2093","חוזה יועץ נגישות.docx","נס ציונה מחיר למשתכן"
"CONT-10-2103","חוזה יועץ נגישות.docx","גבעת הכלניות - קרית אתא"
"CONT-10-2143","חוזה יועץ נגישות.docx","נתניה - מגרש 1409"
"CONT-10-2152","חוזה יועץ נגישות.docx","מורדות ארנונה"
"CONT-10-2244","חוזה יועץ נגישות.docx","רמת שרת"
"CONT-10-2248","חוזה יועץ נגישות.docx","רמת שרת שלב ב"
"CONT-10-2316","חוזה יועץ נגישות.docx","רוטשילד חיפה"
"CONT-10-2002","חוזה יועץ פינוי אשפה.docx","מורדות ארנונה"
"CONT-10-2145","חוזה יועץ פינוי אשפה.docx","נתניה - מגרש 1409"
"CONT-10-2374","חוזה יועץ פינוי אשפה.docx","אופיס - אזור"
"CONT-10-1941","חוזה יועץ קרינה אלקטרו.docx",""
"CONT-10-2333","חוזה יועץ קרינה אלקטרו.docx","הכוזרי - הרצליה"
"CONT-10-2069","חוזה מנהל מודל.docx","סביוני רעננה צפון"
"CONT-10-2091","חוזה מנהל מודל.docx","מורדות ארנונה"
"CONT-10-2328","חוזה מעצב פנים.docx","רמת שרת"
"CONT-10-2381","חוזה מעצב פנים.docx","מורדות ארנונה"
"CONT-10-1880","חוזה מתכנן אינסטלציה.docx","נס ציונה מחיר למשתכן"
"CONT-10-1984","חוזה מתכנן אינסטלציה.docx","מורדות ארנונה"
"CONT-10-2081","חוזה מתכנן אינסטלציה.docx","נתניה - מגרש 1409"
"CONT-10-2370","חוזה מתכנן אינסטלציה.docx","אופיס - אזור"
"CONT-10-1942","חוזה מתכנן אלומיניום.docx","בית מפאי"
"CONT-10-2147","חוזה מתכנן אלומיניום.docx","נתניה - מגרש 1409"
"CONT-10-2317","חוזה מתכנן אלומיניום.docx","רוטשילד חיפה"
"CONT-10-2359","חוזה מתכנן אלומיניום.docx","רמת שרת שלב ב"
"CONT-10-2371","חוזה מתכנן חשמל ותקשור1.docx","אופיס - אזור"
"CONT-10-1884","חוזה מתכנן חשמל ותקשורת.docx","נס ציונה מחיר למשתכן"
"CONT-10-1983","חוזה מתכנן חשמל ותקשורת.docx","מורדות ארנונה"
"CONT-10-2138","חוזה מתכנן חשמל ותקשורת.docx","נתניה - מגרש 1409"
"CONT-10-2314","חוזה מתכנן חשמל ותקשורת.docx","רוטשילד חיפה"
"CONT-10-1864","חוזה מתכנן מיגון ומקלוט.docx","סומייל"
"CONT-10-2149","חוזה מתכנן מיגון ומקלוט.docx","נתניה - מגרש 1409"
"CONT-10-2188","חוזה מתכנן מיגון ומקלוט.docx","מורדות ארנונה"
"CONT-10-2298","חוזה מתכנן מיגון ומקלוט.docx","רמת שרת שלב ב"
"CONT-10-2322","חוזה מתכנן מיגון ומקלוט.docx","רוטשילד חיפה"
"CONT-10-1915","חוזה מתכנן מיזוג אוויר.docx","נס ציונה מחיר למשתכן"
"CONT-10-1931","חוזה מתכנן מיזוג אוויר.docx","פרויקט ניסיון"
"CONT-10-2137","חוזה מתכנן מיזוג אוויר.docx","נתניה - מגרש 1409"
"CONT-10-2236","חוזה מתכנן מיזוג אוויר.docx","מורדות ארנונה"
"CONT-10-2311","חוזה מתכנן מיזוג אוויר.docx","רוטשילד חיפה"
"CONT-10-2476","חוזה מתכנן מעליו1.docx","דרך השלום - תא"
