OldContractNumber,OldFileName,OldFolderName,SiteName,docCreator,CostCompMethod,CostContractScope
CONT-10-2056,cbhhi 31 - חוזה מתכנן אינסטלציה.docx,נצר סירני,סביוני נצר סירני,meryle,למדידה,149550
CONT-10-2166,אדריכל השימור.docx,אולפני הרצליה,,germank,,
CONT-10-2335,אדריכלות נוף.docx,אולפני הרצליה,,germank,מחיר קבוע/פאושלי,
CONT-10-2387,אולפני הרצליה חוזה יועץ בטיחות   אלי כחלון.docx,אולפני הרצליה,אולפנים ,germank,,
CONT-10-2495,בדיקה רונן.docx,אופיס - אזור,אפריקה ישראל,,,
CONT-10-2052,בניין 31 - חוזה אדריכל נוף.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,130000
CONT-10-2005,בניין 31 - חוזה אדריכל.docx,נצר סירני,סביוני נצר סירני,meryle,למדידה,856350
CONT-10-2062,בניין 31 - חוזה חברת ניהול ופיקוח.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,905000
CONT-10-2154,בניין 31 - חוזה יועץ איטום.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,23000
CONT-10-2065,בניין 31 - חוזה יועץ אקוסטיקה.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,27500
CONT-10-2051,בניין 31 - חוזה יועץ בטיחות.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,28000
CONT-10-2053,בניין 31 - חוזה יועץ ביסוס קרקע.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,14000
CONT-10-2153,בניין 31 - חוזה יועץ בניה ירוקה ותרמי.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,27500
CONT-10-2066,בניין 31 - חוזה יועץ נגישות.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,13850
CONT-10-2075,בניין 31 - חוזה יועץ סופרפוזיציה.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,70000
CONT-10-2068,בניין 31 - חוזה מנהל מודל.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,70000
CONT-10-2182,בניין 31 - חוזה מעצב פנים.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,68000
CONT-10-2057,בניין 31 - חוזה מתכנן אינסטלציה.docx,נצר סירני,סביוני נצר סירני,meryle,למדידה,149550
CONT-10-2110,בניין 31 - חוזה מתכנן אלומיניום.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,58000
CONT-10-2063,בניין 31 - חוזה מתכנן חשמל ותקשורת.docx,נצר סירני,סביוני נצר סירני,meryle,למדידה,90860
CONT-10-2067,בניין 31 - חוזה מתכנן מיגון ומקלוט.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,9000
CONT-10-2058,בניין 31 - חוזה מתכנן מיזוג אוויר.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,88000
CONT-10-2064,בניין 31 - חוזה מתכנן מעליות.docx,נצר סירני,,meryle,למדידה,17600
CONT-10-2011,בניין 31 - חוזה מתכנן קונסטרוקציה.docx,נצר סירני,סביוני נצר סירני,meryle,למדידה,296250
CONT-10-2054,בניין 31 - חוזה מתכנן תנועה.docx,נצר סירני,סביוני נצר סירני,meryle,מחיר קבוע/פאושלי,80000
CONT-10-1814,הוראות למוזמנים להגיש הצעת מחיר.docx,סומייל,,Rinath,,
CONT-10-1846,הסכם מתכנן- אינסטלציה וספרינקלרים - 2 4 19.docx,אנדריוס,אנדריוס ,avic,,
CONT-10-2353,הרצליה חוזה מתכנן אינסטלציה זיו גלמור 06.02.2024.docx,אולפני הרצליה,אולפנים,germank,מחיר קבוע/פאושלי,548340
CONT-10-2352,הרצליה חוזה מתכנן חשמל ותקשורת 06.02.2024.docx,אולפני הרצליה,הקמת 150 יח''ד ומסחר ,germank,מחיר קבוע/פאושלי,234000
CONT-10-2354,הרצליה חוזה מתכנן מיזוג אוויר זיו גלמור 06.02.2024.docx,אולפני הרצליה,,germank,מחיר קבוע/פאושלי,396605
CONT-10-1859,חוזה אגרונום.docx,סומייל,,Rinath,,
CONT-10-1867,חוזה אגרונום.docx,סמל צפון מגרש 123,,Rinath,,
CONT-10-2325,חוזה אגרונום.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2467,חוזה אגרונום.docx,דרך השלום - תא,אפריקה ישראל,,,
CONT-10-2307,חוזה אדריכל - ראשי.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2343,חוזה אדריכל בית הכנסת.docx,הכוזרי - הרצליה,,meryle,מחיר קבוע/פאושלי,175000
CONT-10-1997,חוזה אדריכל ג גור למגרשים סופי.docx,נשר,( טרם ניתן שם לפרויקט ) בעיר נשר,avic,מחיר קבוע/פאושלי,
CONT-10-1845,חוזה אדריכל מגורים ושטחי מסחר.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,avibe,מחיר קבוע/פאושלי,1686000
CONT-10-2332,חוזה אדריכל מגורים ושטחי מסחר.docx,הכוזרי - הרצליה,הכוזרי הרצליה,meryle,מחיר קבוע/פאושלי,1086500
CONT-10-2445,חוזה אדריכל מגורים ושטחי מסחר.docx,מורדות ארנונה,,kooksec,מחיר קבוע/פאושלי,
CONT-10-367,חוזה אדריכל מסחירי 1.docx,סביוני גליל ים,גליל ים,michak,מחיר קבוע/פאושלי,300000
CONT-10-1879,חוזה אדריכל נוף.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,118800
CONT-10-1899,חוזה אדריכל נוף.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,157000
CONT-10-2000,חוזה אדריכל נוף.docx,מורדות ארנונה,,,,
CONT-10-2096,חוזה אדריכל נוף.docx,גבעת הכלניות - קרית אתא,,avic,מחיר קבוע/פאושלי,
CONT-10-2141,חוזה אדריכל נוף.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,115000
CONT-10-2234,חוזה אדריכל נוף.docx,רמת שרת שלב ב,רמת שרת שלב ב,kooksec,מחיר קבוע/פאושלי,88000
CONT-10-2308,חוזה אדריכל נוף.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2367,חוזה אדריכל נוף.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,190000
CONT-10-2365,חוזה אדריכל ראש1.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,
CONT-10-1872,חוזה אדריכל ראשי.docx,נס ציונה מחיר למשתכן,,kooksec,מחיר קבוע/פאושלי,1686000
CONT-10-1897,חוזה אדריכל ראשי.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,1280300
CONT-10-1914,חוזה אדריכל ראשי.docx,מורדות ארנונה,מורדות ארנונה,kooksec,מחיר קבוע/פאושלי,
CONT-10-1923,חוזה אדריכל ראשי.docx,,,avic,,
CONT-10-1924,חוזה אדריכל ראשי.docx,אנדריוס,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-1927,חוזה אדריכל ראשי.docx,נשר,( טרם ניתן שם לפרויקט ) בעיר נשר,avic,מחיר קבוע/פאושלי,
CONT-10-1996,חוזה אדריכל ראשי.docx,נתניה - מגרש 1409,נתניה - מגרש 1409,dekelr,מחיר קבוע/פאושלי,1128000
CONT-10-2305,חוזה אדריכל ראשי.docx,רמת שרת,,kooksec,,
CONT-10-2306,חוזה אדריכל ראשי.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2249,חוזה אחראי לביקורת פרויקטים.docx,נצר סירני,,kooksec,מחיר קבוע/פאושלי,127000
CONT-10-2255,חוזה אחראי לביקורת פרויקטים.docx,בית מפאי,"בית מפא""י",kooksec,מחיר קבוע/פאושלי,127000
CONT-10-2372,חוזה איתור תשתיות.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,37300
